 Dual grid iteration #           0
 phi before 1 Gauss-Seidel on mesh with M =           16
 i, j, phi
           0           0  -6.8974844820735959E-002
           1           0  -6.8974844820735959E-002
           2           0 -0.19642373959677578     
           3           0 -0.29396890060484016     
           4           0 -0.34675996133053733     
           5           0 -0.34675996133053733     
           6           0 -0.29396890060484004     
           7           0 -0.19642373959677578     
           8           0  -6.8974844820735834E-002
           9           0   6.8974844820735834E-002
          10           0  0.19642373959677578     
          11           0  0.29396890060484004     
          12           0  0.34675996133053733     
          13           0  0.34675996133053733     
          14           0  0.29396890060484016     
          15           0  0.19642373959677578     
          16           0   6.8974844820735959E-002
          17           0   6.8974844820735959E-002
           0           1  -6.8974844820735959E-002
           1           1  -6.8974844820735959E-002
           2           1 -0.19642373959677578     
           3           1 -0.29396890060484016     
           4           1 -0.34675996133053733     
           5           1 -0.34675996133053733     
           6           1 -0.29396890060484004     
           7           1 -0.19642373959677578     
           8           1  -6.8974844820735834E-002
           9           1   6.8974844820735834E-002
          10           1  0.19642373959677578     
          11           1  0.29396890060484004     
          12           1  0.34675996133053733     
          13           1  0.34675996133053733     
          14           1  0.29396890060484016     
          15           1  0.19642373959677578     
          16           1   6.8974844820735959E-002
          17           1   6.8974844820735959E-002
           0           2  -6.8974844820735903E-002
           1           2  -6.8974844820735903E-002
           2           2 -0.19642373959677564     
           3           2 -0.29396890060483993     
           4           2 -0.34675996133053705     
           5           2 -0.34675996133053705     
           6           2 -0.29396890060483982     
           7           2 -0.19642373959677564     
           8           2  -6.8974844820735778E-002
           9           2   6.8974844820735778E-002
          10           2  0.19642373959677564     
          11           2  0.29396890060483982     
          12           2  0.34675996133053705     
          13           2  0.34675996133053705     
          14           2  0.29396890060483993     
          15           2  0.19642373959677564     
          16           2   6.8974844820735903E-002
          17           2   6.8974844820735903E-002
           0           3   6.8974844820735945E-002
           1           3   6.8974844820735945E-002
           2           3  0.19642373959677575     
           3           3  0.29396890060484010     
           4           3  0.34675996133053727     
           5           3  0.34675996133053727     
           6           3  0.29396890060483999     
           7           3  0.19642373959677575     
           8           3   6.8974844820735820E-002
           9           3  -6.8974844820735820E-002
          10           3 -0.19642373959677575     
          11           3 -0.29396890060483999     
          12           3 -0.34675996133053727     
          13           3 -0.34675996133053727     
          14           3 -0.29396890060484010     
          15           3 -0.19642373959677575     
          16           3  -6.8974844820735945E-002
          17           3  -6.8974844820735945E-002
           0           4   6.8974844820735848E-002
           1           4   6.8974844820735848E-002
           2           4  0.19642373959677548     
           3           4  0.29396890060483971     
           4           4  0.34675996133053677     
           5           4  0.34675996133053677     
           6           4  0.29396890060483954     
           7           4  0.19642373959677548     
           8           4   6.8974844820735723E-002
           9           4  -6.8974844820735723E-002
          10           4 -0.19642373959677548     
          11           4 -0.29396890060483954     
          12           4 -0.34675996133053677     
          13           4 -0.34675996133053677     
          14           4 -0.29396890060483971     
          15           4 -0.19642373959677548     
          16           4  -6.8974844820735848E-002
          17           4  -6.8974844820735848E-002
           0           5  -6.8974844820735876E-002
           1           5  -6.8974844820735876E-002
           2           5 -0.19642373959677556     
           3           5 -0.29396890060483982     
           4           5 -0.34675996133053694     
           5           5 -0.34675996133053694     
           6           5 -0.29396890060483971     
           7           5 -0.19642373959677556     
           8           5  -6.8974844820735765E-002
           9           5   6.8974844820735765E-002
          10           5  0.19642373959677556     
          11           5  0.29396890060483971     
          12           5  0.34675996133053694     
          13           5  0.34675996133053694     
          14           5  0.29396890060483982     
          15           5  0.19642373959677556     
          16           5   6.8974844820735876E-002
          17           5   6.8974844820735876E-002
           0           6  -6.8974844820735862E-002
           1           6  -6.8974844820735862E-002
           2           6 -0.19642373959677550     
           3           6 -0.29396890060483971     
           4           6 -0.34675996133053683     
           5           6 -0.34675996133053683     
           6           6 -0.29396890060483960     
           7           6 -0.19642373959677550     
           8           6  -6.8974844820735737E-002
           9           6   6.8974844820735737E-002
          10           6  0.19642373959677550     
          11           6  0.29396890060483960     
          12           6  0.34675996133053683     
          13           6  0.34675996133053683     
          14           6  0.29396890060483971     
          15           6  0.19642373959677550     
          16           6   6.8974844820735862E-002
          17           6   6.8974844820735862E-002
           0           7   6.8974844820735862E-002
           1           7   6.8974844820735862E-002
           2           7  0.19642373959677553     
           3           7  0.29396890060483977     
           4           7  0.34675996133053688     
           5           7  0.34675996133053688     
           6           7  0.29396890060483966     
           7           7  0.19642373959677553     
           8           7   6.8974844820735751E-002
           9           7  -6.8974844820735751E-002
          10           7 -0.19642373959677553     
          11           7 -0.29396890060483966     
          12           7 -0.34675996133053688     
          13           7 -0.34675996133053688     
          14           7 -0.29396890060483977     
          15           7 -0.19642373959677553     
          16           7  -6.8974844820735862E-002
          17           7  -6.8974844820735862E-002
           0           8   6.8974844820735862E-002
           1           8   6.8974844820735862E-002
           2           8  0.19642373959677550     
           3           8  0.29396890060483971     
           4           8  0.34675996133053683     
           5           8  0.34675996133053683     
           6           8  0.29396890060483960     
           7           8  0.19642373959677550     
           8           8   6.8974844820735737E-002
           9           8  -6.8974844820735737E-002
          10           8 -0.19642373959677550     
          11           8 -0.29396890060483960     
          12           8 -0.34675996133053683     
          13           8 -0.34675996133053683     
          14           8 -0.29396890060483971     
          15           8 -0.19642373959677550     
          16           8  -6.8974844820735862E-002
          17           8  -6.8974844820735862E-002
           0           9  -6.8974844820735862E-002
           1           9  -6.8974844820735862E-002
           2           9 -0.19642373959677550     
           3           9 -0.29396890060483971     
           4           9 -0.34675996133053683     
           5           9 -0.34675996133053683     
           6           9 -0.29396890060483960     
           7           9 -0.19642373959677550     
           8           9  -6.8974844820735737E-002
           9           9   6.8974844820735737E-002
          10           9  0.19642373959677550     
          11           9  0.29396890060483960     
          12           9  0.34675996133053683     
          13           9  0.34675996133053683     
          14           9  0.29396890060483971     
          15           9  0.19642373959677550     
          16           9   6.8974844820735862E-002
          17           9   6.8974844820735862E-002
           0          10  -6.8974844820735862E-002
           1          10  -6.8974844820735862E-002
           2          10 -0.19642373959677553     
           3          10 -0.29396890060483977     
           4          10 -0.34675996133053688     
           5          10 -0.34675996133053688     
           6          10 -0.29396890060483966     
           7          10 -0.19642373959677553     
           8          10  -6.8974844820735751E-002
           9          10   6.8974844820735751E-002
          10          10  0.19642373959677553     
          11          10  0.29396890060483966     
          12          10  0.34675996133053688     
          13          10  0.34675996133053688     
          14          10  0.29396890060483977     
          15          10  0.19642373959677553     
          16          10   6.8974844820735862E-002
          17          10   6.8974844820735862E-002
           0          11   6.8974844820735862E-002
           1          11   6.8974844820735862E-002
           2          11  0.19642373959677550     
           3          11  0.29396890060483971     
           4          11  0.34675996133053683     
           5          11  0.34675996133053683     
           6          11  0.29396890060483960     
           7          11  0.19642373959677550     
           8          11   6.8974844820735737E-002
           9          11  -6.8974844820735737E-002
          10          11 -0.19642373959677550     
          11          11 -0.29396890060483960     
          12          11 -0.34675996133053683     
          13          11 -0.34675996133053683     
          14          11 -0.29396890060483971     
          15          11 -0.19642373959677550     
          16          11  -6.8974844820735862E-002
          17          11  -6.8974844820735862E-002
           0          12   6.8974844820735876E-002
           1          12   6.8974844820735876E-002
           2          12  0.19642373959677556     
           3          12  0.29396890060483982     
           4          12  0.34675996133053694     
           5          12  0.34675996133053694     
           6          12  0.29396890060483971     
           7          12  0.19642373959677556     
           8          12   6.8974844820735765E-002
           9          12  -6.8974844820735765E-002
          10          12 -0.19642373959677556     
          11          12 -0.29396890060483971     
          12          12 -0.34675996133053694     
          13          12 -0.34675996133053694     
          14          12 -0.29396890060483982     
          15          12 -0.19642373959677556     
          16          12  -6.8974844820735876E-002
          17          12  -6.8974844820735876E-002
           0          13  -6.8974844820735848E-002
           1          13  -6.8974844820735848E-002
           2          13 -0.19642373959677548     
           3          13 -0.29396890060483971     
           4          13 -0.34675996133053677     
           5          13 -0.34675996133053677     
           6          13 -0.29396890060483954     
           7          13 -0.19642373959677548     
           8          13  -6.8974844820735723E-002
           9          13   6.8974844820735723E-002
          10          13  0.19642373959677548     
          11          13  0.29396890060483954     
          12          13  0.34675996133053677     
          13          13  0.34675996133053677     
          14          13  0.29396890060483971     
